time,2G北美规模,3G北美规模,4G北美规模,北美整体规模,2G EMEA规模,3G EMEA规模,4G EMEA规模,EMEA整体规模,2G亚太规模,3G亚太规模,4G亚太规模,亚太整体规模,2G CALA规模,3G CALA规模,4G CALA规模,CALA整体规模
1999-01-01,,,,,,,,,,,,,,,,
1999-04-01,,,,,,,,,,,,,,,,
1999-07-01,,,,,,,,,,,,,,,,
1999-10-01,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,
2001-01-01,20.48765141643257,,,20.48765141643257,32.4081106857578,,,32.4081106857578,25.47576516509623,2.056634960715035,,27.53240012581127,4.066622255125068,,,4.066622255125068
2001-04-01,23.83436233437005,,,23.83436233437005,36.96538075365651,,,36.96538075365651,30.73179184988069,2.212966040959266,,32.94475789083996,7.799611386562483,,,7.799611386562483
2001-07-01,23.06930248136669,,,23.06930248136669,29.22373893595666,,,29.22373893595666,25.42024978780251,2.218115019949737,,27.63836480775225,6.187954826775652,,,6.187954826775652
2001-10-01,22.18199841977943,,,22.18199841977943,30.49687317403195,,,30.49687317403195,23.70881088554336,2.06762104056186,,25.77643192610522,4.361979103701854,,,4.361979103701854
2002-01-01,21.59105479747164,,,21.59105479747164,24.67412733729422,,,24.67412733729422,21.91776468863127,2.151743570703283,,24.06950825933455,5.172252167415012,,,5.172252167415012
2002-04-01,24.61827711926593,,,24.61827711926593,28.25493989066646,,,28.25493989066646,21.05103155611069,1.836673728909018,,22.88770528501971,7.633151064601996,,,7.633151064601996
2002-07-01,16.7829677978934,,,16.7829677978934,20.73376035102034,7.850422912278272,,28.58418326329861,20.93659555006695,1.496772575929232,,22.43336812599619,3.017493814940921,,,3.017493814940921
2002-10-01,16.03068654034359,,,16.03068654034359,28.6448879119858,4.750584616354999,,33.3954725283408,25.38637430176962,1.995987995485593,,27.38236229725521,3.744321591349911,,,3.744321591349911
2003-01-01,14.56908962470729,,,14.56908962470729,20.04693805984616,6.356452688836857,,26.40339074868302,20.0168119983675,2.200680681803927,,22.21749268017143,3.049716408248139,,,3.049716408248139
2003-04-01,13.54670071698162,,,13.54670071698162,21.99742985634009,4.67877522071138,,26.67620507705147,22.78057266119259,2.138712067685324,,24.91928472887791,3.181883684484671,,,3.181883684484671
2003-07-01,13.81265418454464,,,13.81265418454464,20.92753436292315,5.724332260137342,,26.6518666230605,20.11624180548552,2.974078140677316,,23.09031994616284,3.731602403689318,,,3.731602403689318
2003-10-01,21.34613128340581,,,21.34613128340581,27.50388940412158,8.84386319714636,,36.34775260126794,26.18668713079395,4.18063262042654,,30.36731975122049,4.362728636610608,,,4.362728636610608
2004-01-01,18.1898180139533,0.1255375245173972,,18.3153555384707,24.83315122835227,8.379327074207241,,33.21247830255951,27.12381143165848,5.277792869070301,,32.40160430072878,4.836662196272067,,,4.836662196272067
2004-04-01,20.29260048974061,0.1187482432591669,,20.41134873299978,29.92234107966162,7.617917889487899,,37.54025896914952,26.22511645654394,3.585332690155914,,29.81044914669986,4.749466373073604,,,4.749466373073604
2004-07-01,18.56855867189363,0.1150716680961557,,18.68363033998978,27.94890050622723,9.997092791884818,,,25.80701185288705,4.043848771288422,,29.85086062417547,5.678357338135529,,,5.678357338135529
2004-10-01,21.32532134543991,,,21.32532134543991,33.96231935004705,10.03934305830233,,44.00166240834938,28.62580039724712,5.118665395879797,,33.74446579312691,8.015831081438177,,,8.015831081438177
2005-01-01,19.61133760511613,,,19.61133760511613,30.72015449929239,9.339898783494252,,40.06005328278665,26.62116596292874,5.816333657325586,,32.43749962025432,6.626666704726282,,,6.626666704726282
2005-04-01,23.02675837132763,,,23.02675837132763,31.11485267852452,10.02129721616692,,41.13614989469144,27.23526061923137,6.051103543171757,,33.28636416240313,7.516915811827637,,,
2005-07-01,19.38060535910363,,,19.38060535910363,31.34732221866805,10.02304701508717,,41.37036923375523,23.34144919398991,5.767862977423018,,29.10931217141292,7.049305945723313,,,7.049305945723313
2005-10-01,20.52089988895806,1.738994009126978,,22.25989389808503,32.82216045729309,11.52645908591265,,44.34861954320574,25.92601359937769,5.929749027980892,,31.85576262735859,8.345920138300677,,,8.345920138300677
2006-01-01,17.3891566094206,1.515737431164598,,18.9048940405852,,10.8211261740125,,42.43791139273904,21.16177814121841,5.291674674885163,,26.45345281610357,6.301024021310649,,,6.301024021310649
2006-04-01,17.76210444561023,1.500004710414722,,19.26210915602496,33.47224835770568,12.94091435297533,,46.41316271068101,27.80775726102775,6.29637637625988,,34.10413363728763,5.921154020725643,,,5.921154020725643
2006-07-01,22.70851504512782,0.8432116709964349,,23.55172671612425,30.11414491665272,11.16238666450308,,41.2765315811558,27.39465282827498,6.054855643871274,,33.44950847214625,5.304966868437085,,,5.304966868437085
2006-10-01,19.15096697189543,0.4847987030321008,,20.36296372947568,36.83856054966399,13.31995096504171,,50.15851151470569,28.23612950230904,7.193637135848586,,35.42976663815763,7.811057295996639,,,7.811057295996639
2007-01-01,18.99467031724205,1.540596397202426,,20.53526671444447,27.85724393229018,9.136138242926974,,36.99338217521715,25.41560487130834,6.760932745671739,,32.17653761698008,5.367149378716673,0.04694829067655523,,10.82819533878646
